Geant2012,40,1,0.90000125
Geant2012,40,2,0.900351712
Geant2012,40,3,0.90537134
Geant2012,40,4,0.900090781
Garr200908,54,0,0.9014632
Garr200908,54,1,0.8999668
Garr200908,54,2,0.911934
Garr200908,54,3,0.9002636
Garr200908,54,4,0.984247
Belnet2004,23,0,2.644662
Belnet2004,23,1,1.21844
Belnet2004,23,2,2.3108296
Belnet2004,23,3,2.162098
Belnet2004,23,4,2.3697644
Netrail,7,0,1.102466667
Netrail,7,1,0.945111111
Netrail,7,2,0.932344444
Netrail,7,3,1.000577778
Netrail,7,4,1.0404
Janetbackbone,29,0,0.9013415
Janetbackbone,29,1,0.9005555
Janetbackbone,29,2,0.9028875
Janetbackbone,29,3,0.90004925
Janetbackbone,29,4,0.9109265
Garr201004,54,0,0.925902
Garr201004,54,1,0.976953
Garr201004,54,2,1.204614
Garr201004,54,3,0.899923077
Garr201004,54,4,0.946753022
Garr199905,23,0,0.948
Garr199905,23,1,0.900141935
Garr199905,23,2,0.900012903
Garr199905,23,3,0.934683871
Garr199905,23,4,0.900483871
Marnet,20,0,2.357032258
Marnet,20,1,2.932135484
Marnet,20,2,2.470451613
Marnet,20,3,2.932141935
Marnet,20,4,2.932122581
Garr201111,60,0,0.899962
Garr201111,60,1,0.8999652
Garr201111,60,2,0.899984
Garr201111,60,3,0.8999632
Garr201111,60,4,0.8999828
KentmanJul2005,16,0,0.899529412
KentmanJul2005,16,1,0.899529412
KentmanJul2005,16,2,0.899647059
KentmanJul2005,16,3,0.923254839
KentmanJul2005,16,4,0.90016129
Renater2010,43,0,0.907501882
Renater2010,43,1,0.922367204
Renater2010,43,2,0.914461828
Renater2010,43,3,0.934206452
Renater2010,43,4,0.903560484
Rhnet,16,0,0.899974
Rhnet,16,1,0.899981
Rhnet,16,2,0.899979
Rhnet,16,3,0.899976
Rhnet,16,4,0.899982
PionierL3,38,0,0.95212545
PionierL3,38,1,0.941681475
PionierL3,38,2,0.900008613
PionierL3,38,3,0.962762038
PionierL3,38,4,0.90272525
IowaStatewideFiberMap,33,0,0.948622
IowaStatewideFiberMap,33,1,0.89998275
IowaStatewideFiberMap,33,2,0.9020245
IowaStatewideFiberMap,33,3,0.899958
IowaStatewideFiberMap,33,4,0.91618975
BtNorthAmerica,36,0,0.907174188
BtNorthAmerica,36,1,0.902113333
BtNorthAmerica,36,2,0.9118295
BtNorthAmerica,36,3,0.9680945
BtNorthAmerica,36,4,0.9049955
Dfn,58,0,0.90465325
Dfn,58,1,0.939119
Dfn,58,2,0.9617725
Dfn,58,3,0.95287975
Dfn,58,4,0.979879375
GtsHungary,30,0,0.9006575
GtsHungary,30,1,0.899959
GtsHungary,30,2,0.900181
GtsHungary,30,3,0.906118
GtsHungary,30,4,0.9011795
NetworkUsa,35,0,0.914215
NetworkUsa,35,1,0.899931
NetworkUsa,35,2,0.901193
NetworkUsa,35,3,0.939323
NetworkUsa,35,4,0.9005845
JanetExternal,10,0,0.8999952
JanetExternal,10,1,0.8999956
JanetExternal,10,2,0.8999948
